instant,dteday,season,year,month,holiday,day,weather,temp(°C),feels_like(°C),humidity,wind_speed,casual,registered,count_rental,category_day
184,2011-07-03,Fall,2011,Jul,0,Sunday,Misty,29.38,33.43,68.25,0.228858,2282,2367,4649,Weekend
185,2011-07-04,Fall,2011,Jul,1,Monday,Misty,29.79,33.27,63.79,0.0814792,3065,2978,6043,Weekday
186,2011-07-05,Fall,2011,Jul,0,Tuesday,Clear,30.61,34.82,59.04,0.126258,1031,3634,4665,Weekday
187,2011-07-06,Fall,2011,Jul,0,Wednesday,Clear,29.52,34.28,74.33,0.149883,784,3845,4629,Weekday
188,2011-07-07,Fall,2011,Jul,0,Thursday,Clear,30.75,34.34,65.12,0.1592,754,3838,4592,Weekday
189,2011-07-08,Fall,2011,Jul,0,Friday,Misty,29.08,33.52,75.79,0.225129,692,3348,4040,Weekday
190,2011-07-09,Fall,2011,Jul,0,Saturday,Clear,30.07,33.21,60.92,0.167912,1988,3348,5336,Weekend
191,2011-07-10,Fall,2011,Jul,0,Sunday,Clear,30.65,34.5,57.83,0.183471,1743,3138,4881,Weekend
192,2011-07-11,Fall,2011,Jul,0,Monday,Clear,31.26,36.49,63.58,0.282337,723,3363,4086,Weekday
193,2011-07-12,Fall,2011,Jul,0,Tuesday,Clear,32.56,36.96,55.92,0.200254,662,3596,4258,Weekday
194,2011-07-13,Fall,2011,Jul,0,Wednesday,Clear,30.61,34.47,63.17,0.146133,748,3594,4342,Weekday
195,2011-07-14,Fall,2011,Jul,0,Thursday,Clear,27.91,31.76,47.62,0.240667,888,4196,5084,Weekday
196,2011-07-15,Fall,2011,Jul,0,Friday,Clear,27.2,31.22,59.13,0.182833,1318,4220,5538,Weekday
197,2011-07-16,Fall,2011,Jul,0,Saturday,Clear,28.15,31.91,58.5,0.208342,2418,3505,5923,Weekend
198,2011-07-17,Fall,2011,Jul,0,Sunday,Clear,29.49,33.49,60.42,0.245033,2006,3296,5302,Weekend
199,2011-07-18,Fall,2011,Jul,0,Monday,Clear,30.61,35.2,65.12,0.215804,841,3617,4458,Weekday
200,2011-07-19,Fall,2011,Jul,0,Tuesday,Clear,31.84,37.37,65.04,0.1306,752,3789,4541,Weekday
201,2011-07-20,Fall,2011,Jul,0,Wednesday,Clear,31.5,37.34,70.71,0.113817,644,3688,4332,Weekday
202,2011-07-21,Fall,2011,Jul,0,Thursday,Misty,33.42,41.32,69.12,0.222021,632,3152,3784,Weekday
203,2011-07-22,Fall,2011,Jul,0,Friday,Clear,34.78,42.04,58.04,0.1331,562,2825,3387,Weekday
204,2011-07-23,Fall,2011,Jul,0,Saturday,Clear,34.82,40.21,50.0,0.131221,987,2298,3285,Weekend
205,2011-07-24,Fall,2011,Jul,0,Sunday,Clear,34.03,39.74,55.08,0.169171,1050,2556,3606,Weekend
206,2011-07-25,Fall,2011,Jul,0,Monday,Clear,30.48,36.05,75.71,0.0908083,568,3272,3840,Weekday
207,2011-07-26,Fall,2011,Jul,0,Tuesday,Clear,31.64,34.85,54.08,0.200258,750,3840,4590,Weekday
208,2011-07-27,Fall,2011,Jul,0,Wednesday,Clear,31.78,34.53,40.29,0.183463,755,3901,4656,Weekday
209,2011-07-28,Fall,2011,Jul,0,Thursday,Clear,31.95,36.99,58.33,0.178479,606,3784,4390,Weekday
210,2011-07-29,Fall,2011,Jul,0,Friday,Clear,34.37,39.3,54.25,0.174138,670,3176,3846,Weekday
211,2011-07-30,Fall,2011,Jul,0,Saturday,Clear,32.97,36.43,46.58,0.168537,1559,2916,4475,Weekend
212,2011-07-31,Fall,2011,Jul,0,Sunday,Clear,33.04,36.49,48.08,0.164813,1524,2778,4302,Weekend
213,2011-08-01,Fall,2011,Aug,0,Monday,Clear,31.64,35.16,55.08,0.156717,729,3537,4266,Weekday
214,2011-08-02,Fall,2011,Aug,0,Tuesday,Clear,32.12,35.35,49.12,0.20585,801,4044,4845,Weekday
215,2011-08-03,Fall,2011,Aug,0,Wednesday,Misty,30.0,34.0,65.75,0.135583,467,3107,3574,Weekday
216,2011-08-04,Fall,2011,Aug,0,Thursday,Misty,29.11,33.24,75.75,0.19715,799,3777,4576,Weekday
217,2011-08-05,Fall,2011,Aug,0,Friday,Clear,29.14,32.83,63.08,0.184696,1023,3843,4866,Weekday
218,2011-08-06,Fall,2011,Aug,0,Saturday,Misty,29.38,33.81,75.5,0.22825,1521,2773,4294,Weekend
219,2011-08-07,Fall,2011,Aug,0,Sunday,Clear,30.44,35.76,75.29,0.201487,1298,2487,3785,Weekend
220,2011-08-08,Fall,2011,Aug,0,Monday,Clear,31.36,35.16,59.21,0.192175,846,3480,4326,Weekday
221,2011-08-09,Fall,2011,Aug,0,Tuesday,Clear,31.78,36.21,57.04,0.151121,907,3695,4602,Weekday
222,2011-08-10,Fall,2011,Aug,0,Wednesday,Clear,31.43,34.25,42.42,0.200258,884,3896,4780,Weekday
223,2011-08-11,Fall,2011,Aug,0,Thursday,Clear,29.42,32.58,42.38,0.164796,812,3980,4792,Weekday
224,2011-08-12,Fall,2011,Aug,0,Friday,Clear,29.04,32.7,41.5,0.125621,1051,3854,4905,Weekday
225,2011-08-13,Fall,2011,Aug,0,Saturday,Misty,28.12,32.29,72.96,0.211454,1504,2646,4150,Weekend
226,2011-08-14,Fall,2011,Aug,0,Sunday,Misty,27.74,31.22,81.75,0.222633,1338,2482,3820,Weekend
227,2011-08-15,Fall,2011,Aug,0,Monday,Clear,27.3,30.81,71.21,0.208954,775,3563,4338,Weekday
228,2011-08-16,Fall,2011,Aug,0,Tuesday,Clear,28.73,32.29,57.83,0.236329,721,4004,4725,Weekday
229,2011-08-17,Fall,2011,Aug,0,Wednesday,Clear,29.66,33.33,57.54,0.143667,668,4026,4694,Weekday
230,2011-08-18,Fall,2011,Aug,0,Thursday,Clear,29.18,33.11,65.46,0.233208,639,3166,3805,Weekday
231,2011-08-19,Fall,2011,Aug,0,Friday,Misty,28.08,31.66,72.29,0.139308,797,3356,4153,Weekday
232,2011-08-20,Fall,2011,Aug,0,Saturday,Clear,28.6,32.45,67.42,0.104467,1914,3277,5191,Weekend
233,2011-08-21,Fall,2011,Aug,0,Sunday,Clear,29.14,33.78,77.0,0.248754,1249,2624,3873,Weekend
234,2011-08-22,Fall,2011,Aug,0,Monday,Clear,28.36,31.91,47.0,0.27675,833,3925,4758,Weekday
235,2011-08-23,Fall,2011,Aug,0,Tuesday,Clear,26.27,30.3,45.54,0.146763,1281,4614,5895,Weekday
236,2011-08-24,Fall,2011,Aug,0,Wednesday,Clear,27.61,31.53,60.5,0.253108,949,4181,5130,Weekday
237,2011-08-25,Fall,2011,Aug,0,Thursday,Misty,28.05,32.29,77.17,0.210833,435,3107,3542,Weekday
238,2011-08-26,Fall,2011,Aug,0,Friday,Clear,28.7,32.99,76.12,0.0839625,768,3893,4661,Weekday
239,2011-08-27,Fall,2011,Aug,0,Saturday,Misty,27.88,31.78,85.0,0.375617,226,889,1115,Weekend
240,2011-08-28,Fall,2011,Aug,0,Sunday,Clear,28.99,32.4,56.18,0.304659,1415,2919,4334,Weekend
241,2011-08-29,Fall,2011,Aug,0,Monday,Clear,26.1,30.4,55.46,0.159825,729,3905,4634,Weekday
242,2011-08-30,Fall,2011,Aug,0,Tuesday,Clear,26.21,29.74,54.83,0.125008,775,4429,5204,Weekday
243,2011-08-31,Fall,2011,Aug,0,Wednesday,Clear,26.92,30.56,59.79,0.0833333,688,4370,5058,Weekday
244,2011-09-01,Fall,2011,Sep,0,Thursday,Clear,26.86,30.75,63.92,0.141796,783,4332,5115,Weekday
245,2011-09-02,Fall,2011,Sep,0,Friday,Misty,26.38,30.24,72.71,0.139929,875,3852,4727,Weekday
246,2011-09-03,Fall,2011,Sep,0,Saturday,Clear,27.44,31.66,71.67,0.185325,1935,2549,4484,Weekend
247,2011-09-04,Fall,2011,Sep,0,Sunday,Clear,29.08,33.27,74.21,0.206467,2521,2419,4940,Weekend
248,2011-09-05,Fall,2011,Sep,1,Monday,Misty,27.61,31.28,79.04,0.212696,1236,2115,3351,Weekday
249,2011-09-06,Fall,2011,Sep,0,Tuesday,Light_Rain,22.14,25.76,88.7,0.343943,204,2506,2710,Weekday
250,2011-09-07,Fall,2011,Sep,0,Wednesday,Light_Rain,24.57,27.21,91.71,0.0970208,118,1878,1996,Weekday
251,2011-09-08,Fall,2011,Sep,0,Thursday,Light_Rain,25.99,27.77,93.96,0.192748,153,1689,1842,Weekday
252,2011-09-09,Fall,2011,Sep,0,Friday,Misty,26.65,28.95,89.79,0.124379,417,3127,3544,Weekday
253,2011-09-10,Fall,2011,Sep,0,Saturday,Clear,27.06,30.4,75.38,0.153608,1750,3595,5345,Weekend
254,2011-09-11,Fall,2011,Sep,0,Sunday,Clear,26.79,30.46,71.38,0.115054,1633,3413,5046,Weekend
255,2011-09-12,Fall,2011,Sep,0,Monday,Clear,26.42,30.11,69.22,0.088913,690,4023,4713,Weekday
256,2011-09-13,Fall,2011,Sep,0,Tuesday,Clear,26.68,30.18,71.25,0.141804,701,4062,4763,Weekday
257,2011-09-14,Fall,2011,Sep,0,Wednesday,Clear,27.61,31.34,69.71,0.1673,647,4138,4785,Weekday
258,2011-09-15,Fall,2011,Sep,0,Thursday,Misty,23.68,27.68,70.92,0.271146,428,3231,3659,Weekday
259,2011-09-16,Fall,2011,Sep,0,Friday,Misty,19.24,23.07,59.04,0.164183,742,4018,4760,Weekday
260,2011-09-17,Fall,2011,Sep,0,Saturday,Misty,20.16,23.93,71.83,0.189675,1434,3077,4511,Weekend
261,2011-09-18,Fall,2011,Sep,0,Sunday,Clear,20.81,24.53,69.5,0.178483,1353,2921,4274,Weekend
262,2011-09-19,Fall,2011,Sep,0,Monday,Misty,22.52,26.48,69.0,0.151742,691,3848,4539,Weekday
263,2011-09-20,Fall,2011,Sep,0,Tuesday,Misty,23.03,26.61,88.12,0.134954,438,3203,3641,Weekday
264,2011-09-21,Fall,2011,Sep,0,Wednesday,Misty,24.4,27.53,90.0,0.0964042,539,3813,4352,Weekday
265,2011-09-22,Fall,2011,Sep,0,Thursday,Misty,25.76,27.75,90.21,0.128125,555,4240,4795,Weekday
266,2011-09-23,Winter,2011,Sep,0,Friday,Misty,24.98,26.11,97.25,0.0783667,258,2137,2395,Weekday
267,2011-09-24,Winter,2011,Sep,0,Saturday,Misty,24.87,28.22,86.25,0.0783833,1776,3647,5423,Weekend
268,2011-09-25,Winter,2011,Sep,0,Sunday,Misty,26.0,28.63,84.5,0.0503792,1544,3466,5010,Weekend
269,2011-09-26,Winter,2011,Sep,0,Monday,Misty,26.62,29.45,84.83,0.1107,684,3946,4630,Weekday
270,2011-09-27,Winter,2011,Sep,0,Tuesday,Misty,26.1,28.73,88.54,0.118171,477,3643,4120,Weekday
271,2011-09-28,Winter,2011,Sep,0,Wednesday,Misty,26.04,28.76,84.88,0.148629,480,3427,3907,Weekday
272,2011-09-29,Winter,2011,Sep,0,Thursday,Clear,25.28,28.73,69.92,0.172883,653,4186,4839,Weekday
273,2011-09-30,Winter,2011,Sep,0,Friday,Clear,23.13,27.24,64.75,0.206475,830,4372,5202,Weekday
274,2011-10-01,Winter,2011,Oct,0,Saturday,Misty,16.81,20.64,75.38,0.292296,480,1949,2429,Weekend
275,2011-10-02,Winter,2011,Oct,0,Sunday,Misty,14.62,17.27,79.17,0.222013,616,2302,2918,Weekend
276,2011-10-03,Winter,2011,Oct,0,Monday,Misty,15.75,19.6,76.08,0.0833458,330,3240,3570,Weekday
277,2011-10-04,Winter,2011,Oct,0,Tuesday,Clear,19.85,23.64,71.0,0.205854,486,3970,4456,Weekday
278,2011-10-05,Winter,2011,Oct,0,Wednesday,Clear,22.07,26.36,64.79,0.17725,559,4267,4826,Weekday
279,2011-10-06,Winter,2011,Oct,0,Thursday,Clear,20.26,24.02,62.08,0.134954,639,4126,4765,Weekday
280,2011-10-07,Winter,2011,Oct,0,Friday,Clear,20.94,25.22,68.42,0.0223917,949,4036,4985,Weekday
281,2011-10-08,Winter,2011,Oct,0,Saturday,Clear,21.39,25.66,70.12,0.0454042,2235,3174,5409,Weekend
282,2011-10-09,Winter,2011,Oct,0,Sunday,Clear,22.17,26.2,72.75,0.06345,2397,3114,5511,Weekend
283,2011-10-10,Winter,2011,Oct,1,Monday,Clear,23.4,27.15,73.38,0.0423042,1514,3603,5117,Weekday
284,2011-10-11,Winter,2011,Oct,0,Tuesday,Misty,23.23,27.3,80.88,0.143042,667,3896,4563,Weekday
285,2011-10-12,Winter,2011,Oct,0,Wednesday,Light_Rain,22.28,25.89,90.62,0.24815,217,2199,2416,Weekday
286,2011-10-13,Winter,2011,Oct,0,Thursday,Misty,24.16,27.59,89.67,0.141787,290,2623,2913,Weekday
287,2011-10-14,Winter,2011,Oct,0,Friday,Misty,22.58,26.48,71.62,0.223883,529,3115,3644,Weekday
288,2011-10-15,Winter,2011,Oct,0,Saturday,Clear,20.77,24.94,48.33,0.258083,1899,3318,5217,Weekend
289,2011-10-16,Winter,2011,Oct,0,Sunday,Clear,20.98,25.16,48.67,0.281717,1748,3293,5041,Weekend
290,2011-10-17,Winter,2011,Oct,0,Monday,Clear,21.9,25.54,57.96,0.175379,713,3857,4570,Weekday
291,2011-10-18,Winter,2011,Oct,0,Tuesday,Misty,21.83,26.14,70.17,0.110087,637,4111,4748,Weekday
292,2011-10-19,Winter,2011,Oct,0,Wednesday,Light_Rain,22.21,25.69,89.52,0.243339,254,2170,2424,Weekday
293,2011-10-20,Winter,2011,Oct,0,Thursday,Clear,19.51,23.33,63.62,0.422275,471,3724,4195,Weekday
294,2011-10-21,Winter,2011,Oct,0,Friday,Clear,17.53,21.18,57.42,0.221396,676,3628,4304,Weekday
295,2011-10-22,Winter,2011,Oct,0,Saturday,Clear,17.32,21.27,62.92,0.0926667,1499,2809,4308,Weekend
296,2011-10-23,Winter,2011,Oct,0,Sunday,Clear,17.29,21.12,74.12,0.0995125,1619,2762,4381,Weekend
297,2011-10-24,Winter,2011,Oct,0,Monday,Clear,19.0,22.85,77.21,0.118792,699,3488,4187,Weekday
298,2011-10-25,Winter,2011,Oct,0,Tuesday,Clear,19.34,23.17,62.29,0.166658,695,3992,4687,Weekday
299,2011-10-26,Winter,2011,Oct,0,Wednesday,Misty,19.85,23.64,72.04,0.148642,404,3490,3894,Weekday
300,2011-10-27,Winter,2011,Oct,0,Thursday,Misty,19.27,22.85,81.29,0.197763,240,2419,2659,Weekday
301,2011-10-28,Winter,2011,Oct,0,Friday,Misty,13.56,15.94,58.58,0.229479,456,3291,3747,Weekday
302,2011-10-29,Winter,2011,Oct,0,Saturday,Light_Rain,10.42,11.4,88.25,0.351371,57,570,627,Weekend
303,2011-10-30,Winter,2011,Oct,0,Sunday,Clear,13.09,16.07,62.38,0.176617,885,2446,3331,Weekend
304,2011-10-31,Winter,2011,Oct,0,Monday,Clear,13.94,17.8,70.33,0.10635,362,3307,3669,Weekday
305,2011-11-01,Winter,2011,Nov,0,Tuesday,Clear,16.43,19.85,68.38,0.135571,410,3658,4068,Weekday
306,2011-11-02,Winter,2011,Nov,0,Wednesday,Clear,15.48,19.51,71.88,0.0820917,370,3816,4186,Weekday
307,2011-11-03,Winter,2011,Nov,0,Thursday,Clear,16.74,20.3,70.21,0.136817,318,3656,3974,Weekday
308,2011-11-04,Winter,2011,Nov,0,Friday,Misty,16.54,20.17,62.25,0.271779,470,3576,4046,Weekday
309,2011-11-05,Winter,2011,Nov,0,Saturday,Clear,13.39,16.19,51.92,0.189062,1156,2770,3926,Weekend
310,2011-11-06,Winter,2011,Nov,0,Sunday,Clear,14.28,18.12,73.46,0.0920542,952,2697,3649,Weekend
311,2011-11-07,Winter,2011,Nov,0,Monday,Clear,16.2,20.04,75.88,0.057225,373,3662,4035,Weekday
312,2011-11-08,Winter,2011,Nov,0,Tuesday,Clear,16.74,20.61,72.17,0.0690375,376,3829,4205,Weekday
313,2011-11-09,Winter,2011,Nov,0,Wednesday,Clear,16.4,20.45,75.83,0.0621958,305,3804,4109,Weekday
314,2011-11-10,Winter,2011,Nov,0,Thursday,Misty,15.58,18.69,81.33,0.189067,190,2743,2933,Weekday
315,2011-11-11,Winter,2011,Nov,1,Friday,Clear,13.29,15.34,44.62,0.314675,440,2928,3368,Weekday
316,2011-11-12,Winter,2011,Nov,0,Saturday,Clear,14.62,17.9,55.29,0.212062,1275,2792,4067,Weekend
317,2011-11-13,Winter,2011,Nov,0,Sunday,Clear,18.07,21.53,45.83,0.281721,1004,2713,3717,Weekend
318,2011-11-14,Winter,2011,Nov,0,Monday,Clear,21.73,26.23,58.71,0.306596,595,3891,4486,Weekday
319,2011-11-15,Winter,2011,Nov,0,Tuesday,Misty,21.73,25.38,68.88,0.199633,449,3746,4195,Weekday
320,2011-11-16,Winter,2011,Nov,0,Wednesday,Light_Rain,18.72,22.6,93.0,0.136829,145,1672,1817,Weekday
321,2011-11-17,Winter,2011,Nov,0,Thursday,Misty,14.01,16.16,57.58,0.305362,139,2914,3053,Weekday
322,2011-11-18,Winter,2011,Nov,0,Friday,Clear,11.24,13.64,41.0,0.168533,245,3147,3392,Weekday
323,2011-11-19,Winter,2011,Nov,0,Saturday,Clear,13.5,16.22,50.21,0.224496,943,2720,3663,Weekend
324,2011-11-20,Winter,2011,Nov,0,Sunday,Misty,19.0,22.85,68.46,0.18595,787,2733,3520,Weekend
325,2011-11-21,Winter,2011,Nov,0,Monday,Light_Rain,18.35,22.25,91.0,0.138054,220,2545,2765,Weekday
326,2011-11-22,Winter,2011,Nov,0,Tuesday,Light_Rain,17.08,21.08,96.25,0.118792,69,1538,1607,Weekday
327,2011-11-23,Winter,2011,Nov,0,Wednesday,Misty,18.07,21.53,75.79,0.335825,112,2454,2566,Weekday
328,2011-11-24,Winter,2011,Nov,1,Thursday,Clear,15.31,18.62,54.92,0.167304,560,935,1495,Weekday
329,2011-11-25,Winter,2011,Nov,0,Friday,Clear,15.38,19.03,64.38,0.0988958,1095,1697,2792,Weekday
330,2011-11-26,Winter,2011,Nov,0,Saturday,Clear,15.41,19.25,68.17,0.0684208,1249,1819,3068,Weekend
331,2011-11-27,Winter,2011,Nov,0,Sunday,Clear,18.83,22.79,69.83,0.208954,810,2261,3071,Weekend
332,2011-11-28,Winter,2011,Nov,0,Monday,Clear,20.64,24.51,74.3,0.142122,253,3614,3867,Weekday
333,2011-11-29,Winter,2011,Nov,0,Tuesday,Misty,18.79,22.57,83.08,0.258092,96,2818,2914,Weekday
334,2011-11-30,Winter,2011,Nov,0,Wednesday,Clear,13.32,15.56,61.33,0.271158,188,3425,3613,Weekday
335,2011-12-01,Winter,2011,Dec,0,Thursday,Clear,12.81,15.28,52.46,0.220158,182,3545,3727,Weekday
336,2011-12-02,Winter,2011,Dec,0,Friday,Clear,12.88,16.57,62.58,0.100754,268,3672,3940,Weekday
337,2011-12-03,Winter,2011,Dec,0,Saturday,Clear,12.27,15.53,61.29,0.0957833,706,2908,3614,Weekend
338,2011-12-04,Winter,2011,Dec,0,Sunday,Clear,13.56,17.46,77.58,0.0839583,634,2851,3485,Weekend
339,2011-12-05,Winter,2011,Dec,0,Monday,Misty,15.82,19.7,82.71,0.0622083,233,3578,3811,Weekday
340,2011-12-06,Winter,2011,Dec,0,Tuesday,Light_Rain,18.96,22.82,94.96,0.232583,126,2468,2594,Weekday
341,2011-12-07,Winter,2011,Dec,0,Wednesday,Light_Rain,16.81,20.01,97.04,0.266175,50,655,705,Weekday
342,2011-12-08,Winter,2011,Dec,0,Thursday,Clear,10.9,12.85,58.0,0.240058,150,3172,3322,Weekday
343,2011-12-09,Winter,2011,Dec,0,Friday,Clear,11.92,15.88,69.58,0.0827167,261,3359,3620,Weekday
344,2011-12-10,Winter,2011,Dec,0,Saturday,Clear,11.28,13.32,50.75,0.233221,502,2688,3190,Weekend
345,2011-12-11,Winter,2011,Dec,0,Sunday,Clear,9.05,12.66,49.0,0.0665417,377,2366,2743,Weekend
346,2011-12-12,Winter,2011,Dec,0,Monday,Clear,9.77,13.51,67.08,0.06345,143,3167,3310,Weekday
347,2011-12-13,Winter,2011,Dec,0,Tuesday,Clear,11.58,15.06,59.0,0.14055,155,3368,3523,Weekday
348,2011-12-14,Winter,2011,Dec,0,Wednesday,Misty,13.02,16.92,66.38,0.0609583,178,3562,3740,Weekday
349,2011-12-15,Winter,2011,Dec,0,Thursday,Misty,17.32,20.61,63.42,0.268042,181,3528,3709,Weekday
350,2011-12-16,Winter,2011,Dec,0,Friday,Misty,15.38,17.99,50.04,0.260575,178,3399,3577,Weekday
351,2011-12-17,Winter,2011,Dec,0,Saturday,Misty,10.59,12.47,56.08,0.243167,275,2464,2739,Weekend
352,2011-12-18,Winter,2011,Dec,0,Sunday,Clear,9.77,12.28,58.63,0.169779,220,2211,2431,Weekend
353,2011-12-19,Winter,2011,Dec,0,Monday,Clear,11.34,14.05,63.75,0.172896,260,3143,3403,Weekday
354,2011-12-20,Winter,2011,Dec,0,Tuesday,Misty,15.82,19.82,59.54,0.0615708,216,3534,3750,Weekday
355,2011-12-21,Spring,2011,Dec,0,Wednesday,Misty,17.56,21.4,85.83,0.2214,107,2553,2660,Weekday
356,2011-12-22,Spring,2011,Dec,0,Thursday,Misty,17.36,21.31,75.75,0.047275,227,2841,3068,Weekday
357,2011-12-23,Spring,2011,Dec,0,Friday,Clear,15.31,18.88,68.62,0.274246,163,2046,2209,Weekday
358,2011-12-24,Spring,2011,Dec,0,Saturday,Clear,12.4,14.96,54.25,0.190304,155,856,1011,Weekend
359,2011-12-25,Spring,2011,Dec,0,Sunday,Clear,11.27,14.0,68.13,0.155091,303,451,754,Weekend
360,2011-12-26,Spring,2011,Dec,1,Monday,Clear,13.19,15.78,50.7,0.239465,430,887,1317,Weekday
361,2011-12-27,Spring,2011,Dec,0,Tuesday,Misty,13.32,16.38,76.25,0.18845,103,1059,1162,Weekday
362,2011-12-28,Spring,2011,Dec,0,Wednesday,Clear,12.26,14.0,50.39,0.293961,255,2047,2302,Weekday
363,2011-12-29,Spring,2011,Dec,0,Thursday,Clear,10.18,13.19,57.42,0.119412,254,2169,2423,Weekday
364,2011-12-30,Spring,2011,Dec,0,Friday,Clear,12.78,15.94,63.67,0.134337,491,2508,2999,Weekday
365,2011-12-31,Spring,2011,Dec,0,Saturday,Clear,16.81,20.71,61.58,0.220154,665,1820,2485,Weekend
366,2012-01-01,Spring,2012,Jan,0,Sunday,Clear,15.17,18.78,69.25,0.192167,686,1608,2294,Weekend
